an,Code_Postal,INSEE_COM,n
2016,44146,44036,1
2004,44046,44109,1
2004,44093,44109,1
2004,44314,44109,2
2010,44046,44109,1
2010,44093,44109,1
2010,44314,44109,1
2016,44046,44109,1
2016,44093,44109,1
2016,44314,44109,1
2004,44819,44162,1
2010,44819,44162,1
2016,44819,44162,1
2004,44600,44184,1
2004,44606,44184,1
2010,44600,44184,1
2010,44606,44184,1
2016,44606,44184,1
2004,45200,45004,1
2010,45200,45004,1
2016,45200,45004,1
2004,45503,45155,1
2010,45503,45155,1
2016,45503,45155,1
2004,45032,45234,1
2010,45032,45234,1
2016,45067,45234,1
2004,45308,45252,1
2010,45307,45252,1
2016,45308,45252,1
2004,45802,45284,1
2010,45802,45284,1
2016,45770,45302,1
2004,46005,46042,1
2010,46005,46042,1
2016,46005,46042,1
2004,46100,46102,1
2004,46300,46127,1
2004,47002,47001,1
2004,47923,47001,1
2010,47002,47001,1
2010,47923,47001,1
2016,47002,47001,1
2016,47923,47001,1
2004,47207,47157,1
2010,47207,47157,1
2016,47207,47157,1
2004,47307,47323,1
2010,47307,47323,1
2016,47305,47323,1
2004,48001,48095,1
2010,48001,48095,1
2016,48000,48095,1
2004,49033,49007,1
2004,49044,49007,2
2010,49044,49007,1
2010,49933,49007,1
2016,49044,49007,1
2016,49933,49007,1
2004,49300,49099,1
2004,49325,49099,1
2010,49300,49099,1
2010,49325,49099,1
2016,49300,49099,1
2016,49325,49099,1
2004,49403,49328,1
2010,49403,49328,1
2016,49403,49328,1
2004,50303,50025,1
2010,50303,50025,1
2016,50303,50025,1
2004,50102,50129,1
2010,50102,50129,1
2016,50102,50129,1
2004,50200,50147,1
2010,50200,50147,1
2016,50200,50147,1
2004,50406,50218,1
2004,50009,50502,1
2010,50009,50502,1
2016,50009,50502,1
2004,50700,50615,1
2004,51005,51108,1
2004,51038,51108,1
2010,51005,51108,1
2016,51005,51108,1
2004,51205,51230,1
2004,51206,51230,1
2010,51205,51230,1
2010,51206,51230,1
2016,51205,51230,1
2016,51206,51230,2
2004,51052,51454,1
2004,51057,51454,1
2004,51092,51454,1
2010,51052,51454,1
2010,51057,51454,1
2010,51092,51454,1
2016,51052,51454,1
2016,51057,51454,1
2016,51092,51454,1
2004,51308,51649,1
2010,51308,51649,1
2016,51308,51649,1
2004,52014,52121,1
2010,52014,52121,1
2016,52014,52121,1
2004,52200,52269,1
2010,52200,52269,1
2016,52200,52269,1
2004,52115,52448,1
2010,52115,52448,1
2016,52115,52448,1
2004,53204,53062,1
2010,53204,53062,1
2016,53204,53062,1
2004,53015,53130,1
2010,53015,53130,1
2016,53015,53130,1
2004,53103,53147,1
2010,53103,53147,1
2016,53103,53147,1
2004,54151,54099,1
2010,54151,54099,1
2016,54151,54099,1
2004,54301,54329,1
2010,54301,54329,1
2016,54301,54329,1
2004,54350,54382,1
2010,54350,54382,1
2016,54350,54382,1
2004,54042,54395,1
2004,54100,54395,1
2010,54000,54395,1
2010,54042,54395,1
2016,54000,54395,1
2016,54042,54395,1
2004,54201,54528,1
2010,54201,54528,1
2016,54201,54528,1
2004,55012,55029,1
2010,55012,55029,1
2016,55005,55029,1
2016,55012,55029,1
2010,55205,55122,1
2004,55107,55545,1
2010,55107,55545,1
2016,55107,55545,1
2004,56322,56121,1
2010,56322,56121,1
2016,56322,56121,1
2016,56920,56151,2
